[0] 0.070402  **INT-2Ah*:00103b4b:00:0f: [1] *** mpu_send(22 20 0e 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
[0] 0.070436  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.070474     PropMgr:e044ebfd:d6:03: LvLensDataMasterResultCBR
[0] 0.070570     PropMgr:e044ebfd:d6:03: PowerZoomAdapterInfoCBR
[0] 0.070662     PropMgr:e044ebfd:d6:03: FactErrLensDataInfoCBR
[0] 0.070834  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.071342      NFCMgr:e03f62a7:3e:03: [BLE] BLEMGR_InitializeParam
[0] 0.071504  **INT-2Ah*:00103b4b:00:0f: [2] *** mpu_send(06 05 03 8a 00 00)
[0] 0.071536  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.071618  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.071670  **INT-2Ah*:00103b4b:00:0f: [3] *** mpu_send(06 04 02 14 00 00)
[0] 0.071697  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.071777  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.071836      NFCMgr:e0606d53:3e:03:  NFCI2C_SetParam 1 3 0xa8 0x0
[0] 0.071887      NFCMgr:e05d56d9:3e:03:  PROP_SPECIAL_OPTION Wlan off (0x0)
[0] 0.418729  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.418818  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.418857  **INT147h*:00103bcb:00:0f: [0] *** mpu_recv(06 05 01 00 03 00)
[0] 0.418946  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.418981     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80000000(1 0 0) 0x3 
[0] 0.419033     PropMgr:e0064901:81:03: ChangeAEMode -> 3 @AE_MODE_DIAL
[0] 0.419070  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.419107  **INT147h*:00103bcb:00:0f: [1] *** mpu_recv(06 05 01 99 00 00)
[0] 0.419156  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.419215     PropMgr:e0064369:81:01: DIST Send 1,1
[0] 0.419249  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.419286  **INT147h*:00103bcb:00:0f: [2] *** mpu_recv(06 05 01 9a 00 00)
